title,genre,runtime,year,top200_box,director,mpaa_rating,imdb_rating,critics_rating,audience_rating,imdb_num_votes,critics_score,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win
Filly Brown,Drama,80,2013,no,Michael D. Olmos,R,5.5,Rotten,Upright,899,45,73,no,no,no,no,no
The Dish,Drama,101,2001,no,Rob Sitch,PG-13,7.3,Certified Fresh,Upright,12285,96,81,no,no,no,no,no
Waiting for Guffman,Comedy,84,1996,no,Christopher Guest,R,7.6,Certified Fresh,Upright,22381,91,91,no,no,no,no,no
The Age of Innocence,Drama,139,1993,no,Martin Scorsese,PG,7.2,Certified Fresh,Upright,35096,80,76,no,no,yes,no,yes
Malevolence,Horror,90,2004,no,Stevan Mena,R,5.1,Rotten,Spilled,2386,33,27,no,no,no,no,no
Old Partner,Documentary,78,2009,no,Chung-ryoul Lee,Unrated,7.8,Fresh,Upright,333,91,86,no,no,no,no,no
Lady Jane,Drama,142,1986,no,Trevor Nunn,PG-13,7.2,Rotten,Upright,5016,57,76,no,no,no,no,no
Mad Dog Time,Drama,93,1996,no,Larry Bishop,R,5.5,Rotten,Spilled,2272,17,47,no,no,yes,no,no
Beauty Is Embarrassing,Documentary,88,2012,no,Neil Berkeley,Unrated,7.5,Fresh,Upright,880,90,89,no,no,no,no,no
The Snowtown Murders,Drama,119,2012,no,Justin Kurzel,Unrated,6.6,Certified Fresh,Upright,12496,83,66,no,no,no,no,no
Superman II,Action & Adventure,127,1981,yes,Richard Lester,PG,6.8,Certified Fresh,Upright,71979,89,75,no,no,yes,no,no
Leap of Faith,Drama,108,1992,no,Richard Pearce,PG-13,6,Fresh,Spilled,9669,67,46,no,no,no,no,no
The Royal Tenenbaums,Comedy,110,2002,no,Wes Anderson,R,7.6,Certified Fresh,Upright,201779,80,89,no,no,yes,yes,no
School for Scoundrels,Comedy,100,2006,no,Todd Phillips,PG-13,5.9,Rotten,Spilled,25808,25,53,no,no,no,no,no
Rhinestone,Comedy,111,1984,no,Bob Clark (III),PG,3.6,Rotten,Spilled,5544,15,36,no,no,no,no,no
Burn After Reading,Drama,96,2008,no,Joel Coen,R,7,Certified Fresh,Upright,240033,78,64,no,no,no,yes,yes
The Doors,Drama,140,1991,no,Oliver Stone,R,7.2,Rotten,Upright,66489,54,80,no,no,no,no,yes
The Wood,Drama,106,1999,no,Rick Famuyiwa,R,6.9,Fresh,Upright,6336,61,92,no,no,no,no,no
Jason X,Horror,91,2002,no,James Isaac,R,4.4,Rotten,Spilled,37769,19,24,no,no,no,no,no
Dragon Wars,Drama,90,2007,no,Hyung-rae Shim,PG-13,3.6,Rotten,Spilled,21268,29,19,no,no,no,no,no
Fallen,Drama,124,1997,no,Gregory Hoblit,R,7,Rotten,Upright,56201,40,73,no,no,yes,no,no
The Gleaners and I,Documentary,82,2001,no,Agnes Varda,Unrated,7.6,Fresh,Upright,3459,92,86,no,no,no,no,no
Tamara Drewe,Drama,107,2010,no,Stephen Frears,R,6.2,Fresh,Spilled,16717,66,42,no,no,no,no,no
Not Without My Daughter,Drama,116,1991,no,Brian Gilbert,PG-13,6.2,Rotten,Upright,9357,47,71,no,no,no,yes,no
The Yes Men Fix the World,Documentary,87,2009,no,Andy Bichlbaum,Unrated,7.6,Certified Fresh,Upright,4541,79,77,no,no,no,no,no
"Oh, God! You Devil",Comedy,97,1984,no,Paul Bogart,PG,5.3,Rotten,Spilled,1816,40,41,no,no,no,no,no
Meet Joe Black,Drama,178,1998,no,Martin Brest,PG-13,7.1,Rotten,Upright,163490,51,81,no,no,yes,no,no
The Bay,Horror,84,2012,no,Barry Levinson,R,5.6,Certified Fresh,Spilled,19285,77,43,no,no,no,no,yes
